distanceX,distanceY,closeTopWall,closeBottomWall,closeLeftWall,closeRightWall,bodyUp,bodyDown,bodyLeft,bodyRight,action
-12,-1,0,0,0,0,0,1,0,0,0
-19,-6,0,0,0,0,0,1,0,0,0
-17,1,0,0,0,0,0,0,0,1,1
0,-5,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,1,2
6,-13,0,0,0,0,0,0,0,0,0
-16,-4,0,0,0,0,0,0,1,1,0
1,-12,0,0,0,0,0,0,0,0,0
9,6,0,0,0,0,0,0,0,0,1
2,9,0,0,0,0,0,0,0,0,1
18,11,0,0,0,0,0,1,0,0,3
-8,3,0,0,0,0,0,0,1,1,1
-4,-1,0,0,0,0,0,0,0,0,0
16,-13,0,1,0,0,0,0,0,1,0
-14,0,0,0,0,0,0,0,0,0,2
9,7,1,0,1,0,0,0,0,0,1
7,8,0,0,0,0,0,0,0,0,1
2,-17,0,0,0,0,0,0,0,0,0
-3,8,0,0,0,0,0,0,0,0,1
-10,3,0,0,0,0,0,0,1,0,1
16,-16,0,0,0,0,0,1,0,0,0
-10,-2,0,0,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,1
-8,-8,0,0,0,0,0,0,0,0,0
-1,1,0,0,0,0,0,0,0,0,1
-3,12,1,0,0,0,0,0,0,0,1
-24,-7,0,0,0,0,0,0,0,0,0
6,-10,0,0,0,0,0,0,0,0,0
-11,-2,0,0,0,1,0,1,1,0,0
-7,-3,0,0,0,0,0,0,0,0,0
-9,4,0,0,0,0,0,0,0,0,1
-15,-5,0,0,0,0,0,0,0,0,0
-16,-3,0,0,0,0,0,0,0,0,0
-8,2,0,0,0,0,0,0,0,0,1
9,6,0,0,0,0,0,0,0,0,1
-7,1,0,0,0,0,0,0,0,1,1
4,-7,0,1,0,0,0,1,0,1,0
-10,-3,0,0,0,0,0,0,0,0,0
4,-2,0,0,1,0,0,0,0,0,0
-14,-7,0,0,0,0,0,0,0,0,0
-7,4,0,0,0,0,0,1,1,0,0
-28,-5,0,0,0,1,0,0,0,0,0
-10,8,0,0,0,0,0,0,0,0,1
-16,-5,0,0,0,0,0,0,0,0,0
-7,-16,0,1,0,0,0,0,0,0,0
9,-1,0,0,0,0,0,0,0,0,0
20,4,0,0,0,0,0,0,0,1,1
-8,-3,0,0,0,0,0,0,1,0,0
12,-12,0,1,0,0,0,0,0,0,0
0,-6,0,0,0,0,0,0,0,0,0
0,-3,0,0,0,0,1,0,0,0,1
5,-1,0,0,0,0,1,0,0,0,3
-8,3,0,0,0,0,0,0,1,1,1
14,-3,0,0,0,0,0,1,0,0,0
-1,0,0,0,0,1,0,0,0,1,2
9,-15,0,0,0,0,0,0,0,0,0
-3,-2,0,0,0,0,0,0,0,0,0
4,-3,0,0,0,0,0,0,0,0,0
13,13,0,0,0,0,1,0,0,0,1
23,-12,0,0,1,0,1,1,0,0,3
-10,1,0,0,0,0,0,0,0,0,1
0,-2,0,0,0,0,0,0,0,0,0
11,-6,0,0,0,0,0,0,0,1,0
-8,4,0,0,0,0,0,0,0,0,1
-14,8,0,0,0,0,0,0,1,0,1
3,-7,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,1
-25,14,0,0,0,0,0,0,0,0,1
11,8,0,0,0,0,1,0,0,0,1
0,11,0,0,0,0,0,0,0,1,1
-1,4,0,0,0,1,0,0,0,1,1
-10,6,0,0,0,0,0,0,0,0,1
5,-5,0,0,1,0,0,1,0,0,0
-19,2,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,0,1
-17,3,0,0,0,1,0,0,0,0,1
8,-4,0,0,1,0,0,0,0,0,0
12,-5,0,0,0,0,1,1,0,0,3
-6,-1,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,1
-15,-1,0,0,0,0,0,0,0,0,0
-4,6,0,0,0,0,0,0,0,0,1
-24,6,0,0,0,1,0,0,0,0,1
25,0,0,0,1,0,0,0,0,0,3
2,3,0,0,0,0,0,0,0,0,1
1,3,1,0,0,0,0,0,0,1,1
-4,4,0,0,0,0,0,0,0,0,1
9,10,0,0,0,0,0,1,0,0,3
7,14,1,0,0,0,0,0,0,0,1
-5,9,0,0,0,0,0,0,0,0,1
-9,-5,0,0,0,0,0,0,1,0,0
11,7,0,0,0,0,0,0,0,0,1
7,8,0,0,0,0,0,1,0,0,3
4,-7,0,0,0,0,0,1,0,0,0
-1,-6,0,0,0,0,0,0,0,0,0
16,-8,0,1,0,0,0,1,0,0,0
-3,8,0,0,0,0,0,0,0,1,1
-19,1,0,0,0,0,0,0,0,0,1
-18,6,0,0,0,1,0,0,0,0,1
-17,11,0,0,0,0,0,0,0,0,1
3,-3,0,0,0,0,0,0,0,0,0
-7,3,0,0,0,0,0,0,0,0,1
7,-9,0,0,0,0,0,0,0,0,0
-9,9,1,0,0,0,0,0,0,0,1
7,-10,0,0,0,0,0,0,0,0,0
8,-12,0,0,0,0,0,0,0,0,0
-6,-3,0,0,0,0,0,0,0,0,0
-13,4,0,0,0,0,0,0,0,0,1
7,4,1,0,0,0,0,0,1,0,1
-2,-6,0,0,0,0,0,0,0,0,0
-8,5,0,0,0,0,0,0,0,0,1
7,10,0,0,0,0,0,0,0,0,1
-12,-13,0,0,0,0,0,0,1,0,0
-5,3,0,0,0,0,1,0,0,0,1
10,-6,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,1
7,-11,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,2
-1,5,0,0,0,0,0,1,0,0,2
-11,-1,0,0,0,0,0,1,0,0,0
6,-13,0,1,0,0,0,0,0,0,0
-15,9,0,0,0,0,0,1,0,0,2
2,1,0,1,0,0,0,1,0,0,3
-1,-4,0,0,0,0,1,0,0,1,2
13,-1,1,0,0,0,0,1,1,0,3
4,3,0,0,0,0,0,0,0,0,1
-12,-7,0,0,0,0,0,0,0,0,0
-7,-1,0,0,0,0,0,0,0,1,0
-2,2,0,0,0,0,0,0,1,1,1
-4,1,0,0,0,0,0,0,0,0,1
-9,-4,0,0,0,0,0,0,0,0,0
-6,13,0,0,0,1,0,0,0,0,1
5,17,0,0,0,0,0,0,0,1,1
4,11,0,0,0,0,0,0,0,0,1
17,-3,0,0,0,0,0,0,0,1,0
7,-1,0,0,0,0,1,0,0,0,3
9,-12,0,0,0,0,0,0,0,0,0
16,-14,0,1,0,0,1,0,0,0,3
-5,8,0,0,0,0,0,0,1,0,1
-14,-1,1,0,0,0,1,0,0,0,2
3,10,0,0,0,0,0,1,0,0,3
9,-4,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,3
-18,9,0,0,0,0,0,0,0,0,1
-25,6,0,0,0,0,0,0,0,0,1
18,-7,0,0,0,0,0,1,0,0,0
2,17,0,0,0,0,0,0,0,0,1
-14,-3,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,1
-5,-13,0,1,0,0,0,0,0,1,0
-11,7,0,0,0,0,0,0,0,0,1
-5,-14,0,0,0,0,0,0,0,0,0
-13,0,0,0,0,0,0,0,0,0,2
-13,6,1,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,3
0,-8,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,1
3,-4,0,0,0,0,1,0,0,0,3
9,5,0,0,0,0,0,0,0,0,1
-17,9,0,0,0,0,0,0,0,0,1
24,6,0,0,0,0,0,0,0,0,1
2,-13,0,0,0,0,0,0,0,0,0
-11,9,1,0,0,0,0,0,0,0,1
-10,6,0,0,0,0,0,0,0,0,1
16,3,0,0,0,0,0,0,0,0,1
-24,-15,0,0,0,0,1,0,0,0,2
-6,2,0,0,0,0,0,0,1,0,1
-6,-5,0,0,0,0,0,0,0,0,0
-13,-5,0,0,0,0,0,0,0,0,0
-10,4,0,0,0,0,0,0,0,0,1
1,8,0,0,0,0,0,0,1,0,1
2,6,0,0,0,0,0,0,0,0,1
-12,13,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,1
-11,5,0,0,0,1,0,0,0,0,1
-9,5,0,0,0,0,0,0,0,0,1
-17,-10,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,1
-7,1,0,0,0,0,0,0,0,0,1
1,3,0,0,0,0,0,0,1,0,1
0,6,0,0,0,0,0,0,0,0,1
-6,-16,0,0,0,0,0,0,0,0,0
8,-15,0,0,0,0,0,0,0,0,0
17,7,0,0,0,0,0,0,1,1,1
2,2,0,0,0,0,0,0,0,0,1
-11,2,1,0,0,0,0,0,1,0,1
20,-12,0,0,0,0,0,0,0,0,0
-10,-5,0,0,0,0,1,0,0,0,2
-15,-14,0,0,0,0,0,0,0,0,0
16,-10,0,0,1,0,0,0,0,0,0
-4,2,0,0,0,0,0,1,0,0,2
1,7,0,0,0,0,0,0,0,0,1
-17,7,0,0,0,0,0,0,0,0,1
-23,-9,0,0,0,1,0,0,0,0,0
-18,-4,0,0,0,0,1,0,0,0,2
13,-5,0,0,0,0,0,0,0,0,0
-6,-11,0,0,0,1,0,0,0,0,0
19,-2,0,0,1,0,0,1,0,0,0
15,7,0,0,0,0,0,0,0,1,1
2,-3,0,0,0,0,0,1,0,0,0
-21,11,0,0,0,0,1,0,0,0,1
-6,2,0,0,0,0,0,0,1,1,1
-18,10,0,0,0,0,0,0,0,0,1
-16,1,0,0,0,0,0,0,0,0,1
-3,-6,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,0,1
-14,4,0,0,0,0,0,0,0,0,1
4,9,0,0,0,0,0,0,0,0,1
11,6,0,0,0,0,1,0,0,1,1
0,-3,0,0,0,0,0,0,1,0,0
-8,10,0,0,0,0,0,0,0,0,1
-5,0,0,0,0,0,0,0,0,0,2
-9,14,0,0,0,0,0,0,0,0,1
4,14,1,0,0,0,1,0,0,1,1
-10,-4,0,0,0,0,0,0,0,0,0
-7,-2,0,0,0,0,0,0,0,0,0
-5,-5,0,1,0,0,0,0,0,0,0
-2,-11,0,0,0,0,0,0,0,0,0
-5,-4,0,0,0,0,0,0,0,0,0
-6,-4,0,0,0,0,0,0,0,0,0
-6,11,0,0,0,0,0,0,1,0,1
-23,-2,0,0,0,0,0,1,0,0,0
13,-13,0,0,0,0,0,0,0,0,0
7,-18,0,1,0,0,0,0,0,1,0
-1,-3,0,0,0,0,0,0,0,0,0
7,-1,0,0,0,0,0,0,0,0,0
0,-4,0,0,0,0,0,0,0,0,0
8,5,0,0,0,0,0,0,0,0,1
17,13,1,0,0,0,0,0,0,1,1
7,-3,0,0,0,0,0,0,0,0,0
10,-1,0,0,0,0,0,0,0,0,0
-13,11,0,0,0,0,0,0,0,0,1
3,-6,0,0,0,0,0,0,0,0,0
-19,9,0,0,0,0,0,0,0,0,1
-8,-1,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,1
-3,7,0,0,0,0,0,0,0,0,1
-9,5,1,0,0,0,0,0,0,0,1
-20,12,0,0,0,0,0,0,1,1,1
17,4,0,0,0,0,0,0,0,0,1
-1,7,1,0,0,0,0,0,0,0,1
13,16,1,0,0,0,0,0,0,1,1
-7,-5,0,0,0,0,0,0,0,0,0
-1,-13,0,0,0,0,0,0,0,0,0
-14,-13,0,1,0,0,0,0,0,0,0
-19,3,0,0,0,0,0,0,0,0,1
16,11,0,0,1,0,0,0,0,0,1
-12,-10,0,0,0,1,0,0,0,0,0
-4,-3,0,0,0,0,0,0,0,0,0
-7,-16,0,0,0,0,0,0,1,0,0
9,-8,0,0,0,0,0,0,0,0,0
-5,2,0,0,0,0,0,0,0,0,1
-2,6,0,0,0,0,0,0,0,0,1
-25,12,0,0,0,1,0,0,1,0,1
-7,5,0,0,0,1,1,0,0,0,1
25,3,0,0,0,0,0,0,0,1,1
-3,1,0,0,0,0,0,0,1,0,1
-2,2,0,0,0,0,0,0,0,0,1
4,-11,0,0,0,0,0,0,0,0,0
1,-7,0,0,0,0,0,0,0,0,0
-4,-3,0,0,0,0,0,0,0,0,0
-9,6,0,0,0,0,0,1,1,0,0
-18,4,0,0,0,0,0,0,0,0,1
15,-13,0,0,0,0,0,0,0,0,0
-11,-1,0,1,0,0,0,1,0,0,0
-14,5,0,0,0,0,0,0,0,0,1
3,0,0,0,1,0,0,0,0,0,3
0,-15,0,0,0,0,0,0,1,0,0
13,4,0,0,0,0,0,0,0,0,1
15,4,0,0,0,0,0,0,0,0,1
12,-1,0,0,0,0,1,0,0,0,3
5,10,0,0,0,0,0,1,1,0,3
15,6,0,0,0,0,0,0,0,0,1
1,-9,0,0,0,0,0,0,0,0,0
1,-15,0,0,0,0,0,0,0,0,0
-14,9,0,0,0,1,0,0,0,0,1
-12,3,0,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,1,0,0,3
-21,-10,0,0,0,0,1,0,0,0,2
-7,-4,0,0,0,0,0,0,0,0,0
2,-5,0,0,0,0,0,0,0,0,0
-2,-9,0,0,0,0,0,0,1,0,0
-2,3,0,0,0,1,0,0,1,0,1
2,6,0,0,0,0,0,0,0,0,1
-13,-1,0,0,0,0,0,0,0,0,0
-8,11,0,0,0,0,1,1,1,0,3
17,-5,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,1
-8,-14,0,0,0,0,0,0,0,0,0
-3,-10,0,1,0,0,0,1,0,1,0
5,6,0,0,0,0,0,0,0,0,1
-2,5,0,0,0,0,0,0,0,0,1
-11,-4,0,0,0,0,0,1,0,0,0
-6,-4,0,0,0,0,1,0,0,0,2
27,-4,0,0,1,0,1,0,0,0,3
-3,-15,0,0,0,0,0,0,0,0,0
-10,-5,0,0,0,0,1,0,0,0,2
2,8,0,0,0,0,0,0,0,0,1
22,4,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,3
-11,-16,0,0,0,0,0,0,1,0,0
-9,-5,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,3
11,6,0,0,0,0,0,0,0,0,1
18,12,0,0,0,0,0,0,0,0,1
-11,-8,0,0,0,0,0,0,0,0,0
-24,-3,0,0,0,1,0,0,1,0,0
16,11,0,0,0,0,0,0,0,0,1
-6,-1,0,1,0,0,0,0,0,0,0
5,-5,0,0,0,0,0,0,0,0,0
-9,-9,0,0,0,0,0,0,0,0,0
5,5,0,0,1,0,1,0,0,0,1
1,-4,0,0,0,0,0,1,0,0,0
-8,-12,0,0,0,0,0,0,0,1,0
2,-1,0,0,0,0,0,0,0,0,0
15,-4,0,0,1,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,1
8,4,0,0,0,0,0,0,0,0,1
4,-4,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,1,1
3,-12,0,1,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,1,1
-10,14,0,0,0,0,0,0,0,0,1
-5,-1,0,1,0,0,0,0,0,0,0
-15,-8,0,0,0,0,0,1,0,0,0
11,2,1,0,0,0,0,0,0,0,1
1,5,0,0,0,0,0,0,0,0,1
-3,3,0,0,0,0,0,0,0,0,1
5,3,0,0,0,0,0,0,1,1,1
-2,-16,0,0,0,0,0,0,0,0,0
-4,-5,0,0,0,0,0,0,0,0,0
3,-9,0,0,0,0,0,0,1,0,0
-15,1,0,0,0,0,0,0,0,0,1
11,2,0,0,0,0,0,1,0,0,3
9,-2,0,0,0,0,0,0,0,0,0
-17,-10,0,0,0,0,0,0,0,0,0
-5,-7,0,0,0,0,0,0,0,0,0
-11,11,0,0,0,0,0,0,0,0,1
14,-11,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,1
-1,8,0,0,0,1,0,0,0,0,1
16,-7,0,0,0,0,0,0,0,0,0
3,-3,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,1
-10,4,0,0,0,0,0,0,0,0,1
-16,9,0,0,0,0,0,0,1,0,1
3,4,0,0,0,0,0,0,0,0,1
-3,10,0,0,0,0,0,0,0,0,1
10,5,0,0,0,0,0,0,0,0,1
-12,9,1,0,0,0,0,0,0,0,1
-12,-2,0,0,0,0,1,0,0,0,2
1,7,0,0,0,0,0,0,0,0,1
4,10,1,0,0,0,0,0,0,0,1
15,-7,0,0,0,0,0,0,0,0,0
6,17,0,0,0,0,0,0,1,0,1
-5,-4,0,0,0,0,0,1,0,0,0
10,-3,0,0,0,0,0,0,1,0,0
-12,-12,0,0,0,0,0,0,0,0,0
-5,-2,0,0,0,0,0,0,1,0,0
0,8,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,0,3
-6,0,0,0,0,0,0,0,0,0,2
3,7,0,0,0,0,0,1,0,1,0
1,-1,0,0,0,0,0,0,0,0,0
-24,-8,0,0,0,1,0,0,0,0,0
23,8,0,0,0,0,0,0,0,0,1
-8,6,0,0,0,0,0,0,0,0,1
7,8,0,0,1,0,0,0,0,0,1
0,3,0,0,0,0,0,0,0,0,1
8,14,0,0,0,0,0,0,0,0,1
3,-13,0,0,0,0,0,0,0,0,0
19,5,0,0,0,0,0,0,0,0,1
2,3,0,0,0,0,0,0,0,1,1
15,7,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,3
0,-5,0,0,0,1,0,0,0,0,0
3,-10,0,0,0,0,1,0,0,0,3
6,-4,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,1
12,-15,0,0,0,0,1,0,0,1,1
5,9,0,0,0,0,0,1,0,0,3
4,-14,0,0,0,0,0,0,0,1,0
3,-7,0,0,0,0,0,0,1,0,0
0,9,0,0,0,0,0,0,0,0,1
10,4,0,0,0,0,0,0,0,0,1
-10,-16,0,1,0,0,0,0,0,0,0
-2,1,0,0,0,0,0,0,0,1,1
-8,1,0,0,0,1,0,0,0,0,1
0,-9,0,0,0,0,0,0,0,0,0
-11,9,0,0,0,0,0,0,1,0,1
12,2,0,0,0,0,0,0,0,0,1
-10,12,0,0,0,0,0,0,0,0,1
-18,-13,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,1
7,-12,0,0,0,0,0,0,0,0,0
-23,9,0,0,0,0,0,0,0,0,1
3,-4,0,0,0,0,0,1,0,0,0
2,13,1,0,0,0,0,0,0,0,1
-23,0,0,0,0,1,0,0,1,0,0
8,13,0,0,0,0,0,0,0,0,1
-22,-6,0,0,0,0,0,0,0,0,0
-18,-10,0,0,0,0,0,0,0,1,0
7,-10,0,1,0,0,0,0,0,0,0
15,-10,0,0,0,0,0,0,0,0,0
-11,-6,0,0,0,0,0,0,0,1,0
-12,0,0,0,0,0,0,0,0,0,2
-5,-2,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,1
-8,-11,0,0,0,0,0,0,0,0,0
-7,-2,0,0,0,0,0,0,0,0,0
-7,-6,0,0,0,0,0,0,0,0,0
11,-14,0,1,0,0,0,0,0,0,0
-2,3,0,0,0,0,1,0,0,0,1
12,13,1,0,0,0,0,0,0,0,1
4,-16,0,0,0,0,0,0,0,0,0
-5,-16,0,1,0,0,0,0,0,0,0
23,-2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
-13,6,0,0,0,0,0,0,0,0,1
-5,1,0,0,0,0,0,0,1,0,1
-4,-5,0,0,0,0,0,0,0,0,0
-10,10,0,0,0,0,0,0,0,0,1
14,15,1,0,0,0,0,1,0,0,3
-5,-9,0,0,0,0,0,0,0,0,0
-17,-3,0,0,0,0,0,0,0,0,0
-9,-9,0,0,0,1,0,0,0,0,0
-8,2,0,0,0,0,0,0,0,0,1
-24,-2,0,1,0,0,1,0,1,0,3
5,8,0,0,0,0,0,0,0,0,1
-17,4,0,0,0,0,0,0,0,0,1
3,5,0,0,0,0,1,0,0,0,1
-13,13,0,0,0,0,0,0,0,0,1
-2,0,0,0,0,0,0,0,0,0,2
3,3,0,0,0,0,0,0,0,0,1
-13,5,0,0,0,0,0,0,0,0,1
-24,7,0,0,0,0,0,0,0,0,1
24,6,0,0,0,0,0,1,1,0,3
-6,3,0,0,0,0,0,0,0,0,1
16,-2,0,0,0,0,0,0,0,0,0
-18,0,0,0,0,0,0,0,0,1,2
14,11,0,0,0,0,0,1,0,0,3
-3,-2,0,0,0,0,0,0,0,0,0
19,-8,0,0,0,0,0,0,0,0,0
-2,17,0,0,0,0,0,0,0,0,1
4,12,0,0,0,0,0,0,0,1,1
-9,2,0,0,0,0,0,0,0,0,1
2,-5,0,0,0,0,0,1,0,1,0
-8,-9,0,0,0,0,1,0,0,0,2
7,13,0,0,1,0,0,0,0,0,1
5,5,0,0,0,0,0,0,0,0,1
-5,2,0,0,0,0,0,0,0,1,1
-8,-3,0,0,0,0,0,0,0,0,0
24,-6,0,0,1,0,0,0,0,0,0
-1,2,0,0,0,0,0,0,0,0,1
1,-6,0,0,0,0,0,0,1,0,0
5,12,0,0,0,0,0,0,0,0,1
10,-11,0,0,0,0,1,0,0,0,3
-6,-9,0,0,0,0,0,0,0,0,0
-10,2,0,0,0,0,0,0,0,0,1
7,-2,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,1
-3,-1,0,0,0,0,0,1,0,1,0
-11,-7,0,0,0,0,0,0,0,0,0
-2,-1,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,1,0,1
12,-8,0,0,0,0,1,0,1,0,3
9,-1,0,0,0,0,0,0,1,0,0
-4,5,0,0,0,0,0,0,0,0,1
4,4,0,0,0,0,0,0,0,0,1
6,-1,0,0,0,0,0,0,0,0,0
18,13,0,0,1,0,0,0,0,0,1
13,-3,0,0,0,0,0,0,0,0,0
11,-13,0,0,0,0,1,0,0,0,3
4,-15,0,0,0,0,0,0,0,0,0
-6,-13,0,0,0,0,0,0,0,0,0
13,4,0,0,0,0,1,0,0,0,1
23,6,0,0,0,0,0,0,0,0,1
-20,-6,0,0,0,0,0,0,0,0,0
11,6,0,0,1,0,0,0,0,0,1
-7,7,0,0,0,0,1,0,0,0,1
5,9,0,0,0,0,0,0,0,0,1
-2,-3,0,0,0,0,1,0,0,0,2
7,-10,0,1,0,0,0,0,0,0,0
5,-2,0,0,0,0,0,0,0,0,0
9,14,0,0,0,0,0,0,0,0,1
-4,8,0,0,0,0,0,0,0,0,1
19,-8,0,0,0,0,0,0,0,0,0
5,-6,0,0,0,0,0,0,0,0,0
-17,6,1,0,0,0,0,0,0,0,1
9,-1,0,0,0,0,0,0,0,0,0
-17,-1,0,0,0,0,0,0,0,0,0
-5,1,0,0,0,0,0,0,0,1,1
-16,-2,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0,3
-4,16,1,0,0,0,0,0,0,0,1
8,-15,0,0,0,0,1,0,0,0,3
-10,-7,0,0,0,0,0,0,1,0,0
-18,7,0,0,0,0,0,0,0,0,1
-20,-3,0,0,0,0,0,0,0,0,0
16,-14,0,0,0,0,0,0,0,1,0
0,-5,0,0,0,0,0,0,0,0,0
-18,-11,0,1,0,0,0,0,0,0,0
-9,-4,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,3
-15,3,0,0,0,0,0,0,0,0,1
-7,-7,0,0,0,0,0,0,0,1,0
0,8,0,0,0,0,0,0,0,0,1
1,-6,0,0,0,0,0,0,0,1,0
13,5,0,0,0,0,0,0,0,0,1
-2,7,0,0,0,0,0,0,0,0,1
16,-9,0,0,0,0,0,0,1,1,0
-1,2,0,0,0,0,0,1,0,0,2
23,-7,0,0,0,0,0,0,0,0,0
15,-6,0,0,0,0,0,0,1,0,0
9,9,0,0,0,0,0,0,0,0,1
